,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
1258,776,Tonga,2020,Percentage of individuals using the internet,66.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TON,776
1265,780,Trinidad and Tobago,2020,Percentage of individuals using the internet,78.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TTO,780
1272,788,Tunisia,2020,Percentage of individuals using the internet,72.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TUN,788
1279,792,Türkiye,2020,Percentage of individuals using the internet,77.7,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TUR,792
1295,800,Uganda,2020,Percentage of individuals using the internet,6.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",UGA,800
1302,804,Ukraine,2020,Percentage of individuals using the internet,75.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",UKR,804
1309,784,United Arab Emirates,2020,Percentage of individuals using the internet,100.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARE,784
1316,826,United Kingdom,2020,Percentage of individuals using the internet,94.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",GBR,826
1323,834,United Rep. of Tanzania,2020,Percentage of individuals using the internet,23.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TZA,834
1330,840,United States of America,2020,Percentage of individuals using the internet,90.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",USA,840
1341,858,Uruguay,2020,Percentage of individuals using the internet,86.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",URY,858
1348,860,Uzbekistan,2020,Percentage of individuals using the internet,71.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",UZB,860
1355,548,Vanuatu,2020,Percentage of individuals using the internet,53.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",VUT,548
1366,704,Viet Nam,2020,Percentage of individuals using the internet,70.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",VNM,704
1380,894,Zambia,2020,Percentage of individuals using the internet,18.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZMB,894
1387,716,Zimbabwe,2020,Percentage of individuals using the internet,29.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZWE,716
