,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
105,48,Bahrain,2005,Percentage of individuals using the internet,21.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
106,48,Bahrain,2010,Percentage of individuals using the internet,55.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
107,48,Bahrain,2015,Percentage of individuals using the internet,93.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
108,48,Bahrain,2019,Percentage of individuals using the internet,99.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
109,48,Bahrain,2020,Percentage of individuals using the internet,99.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
110,48,Bahrain,2021,Percentage of individuals using the internet,100.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
111,50,Bangladesh,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
112,50,Bangladesh,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
113,50,Bangladesh,2010,Percentage of individuals using the internet,3.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
114,50,Bangladesh,2015,Percentage of individuals using the internet,12.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
115,50,Bangladesh,2019,Percentage of individuals using the internet,27.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
116,50,Bangladesh,2020,Percentage of individuals using the internet,32.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
117,50,Bangladesh,2021,Percentage of individuals using the internet,38.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BGD,050
118,52,Barbados,2000,Percentage of individuals using the internet,4.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
119,52,Barbados,2005,Percentage of individuals using the internet,52.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
120,52,Barbados,2010,Percentage of individuals using the internet,65.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
121,52,Barbados,2015,Percentage of individuals using the internet,76.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
122,52,Barbados,2019,Percentage of individuals using the internet,83.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
123,52,Barbados,2020,Percentage of individuals using the internet,82.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
124,52,Barbados,2021,Percentage of individuals using the internet,85.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BRB,052
125,112,Belarus,2000,Percentage of individuals using the internet,1.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
126,112,Belarus,2010,Percentage of individuals using the internet,31.8,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
127,112,Belarus,2015,Percentage of individuals using the internet,62.2,Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
128,112,Belarus,2019,Percentage of individuals using the internet,82.8,Users in the last 12 months.;Population aged 6 to 72 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
129,112,Belarus,2020,Percentage of individuals using the internet,85.1,Users in the last 12 months.;Population aged 6 to 72 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
130,112,Belarus,2021,Percentage of individuals using the internet,86.9,Users in the last 12 months.;Population aged 6 to 72 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BLR,112
131,56,Belgium,2000,Percentage of individuals using the internet,29.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
132,56,Belgium,2005,Percentage of individuals using the internet,55.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
133,56,Belgium,2010,Percentage of individuals using the internet,75.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BEL,056
