,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
70,143,Central Asia,2000,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
71,143,Central Asia,2005,Percentage of individuals using the internet,3.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
72,143,Central Asia,2010,Percentage of individuals using the internet,18.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
73,143,Central Asia,2015,Percentage of individuals using the internet,43.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
74,143,Central Asia,2019,Percentage of individuals using the internet,62.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
75,143,Central Asia,2020,Percentage of individuals using the internet,64.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
76,143,Central Asia,2021,Percentage of individuals using the internet,66.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
77,30,Eastern Asia,2000,Percentage of individuals using the internet,5.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
78,30,Eastern Asia,2005,Percentage of individuals using the internet,16.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
79,30,Eastern Asia,2010,Percentage of individuals using the internet,39.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
80,30,Eastern Asia,2015,Percentage of individuals using the internet,54.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
81,30,Eastern Asia,2019,Percentage of individuals using the internet,67.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
82,30,Eastern Asia,2020,Percentage of individuals using the internet,72.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
83,30,Eastern Asia,2021,Percentage of individuals using the internet,75.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
84,62,South-central Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
85,62,South-central Asia,2005,Percentage of individuals using the internet,2.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
86,62,South-central Asia,2010,Percentage of individuals using the internet,7.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
87,62,South-central Asia,2015,Percentage of individuals using the internet,16.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
88,62,South-central Asia,2019,Percentage of individuals using the internet,32.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
89,62,South-central Asia,2020,Percentage of individuals using the internet,43.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
90,62,South-central Asia,2021,Percentage of individuals using the internet,46.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
